     2   0.132281E+04   0.598614E-01   0.194357E-05   0.381930E+01
     3   0.123223E+04   0.998037E-01   0.388778E-05   0.485414E+01
     4   0.114805E+04   0.114568E+00   0.648106E-05   0.503317E+01
     5   0.108289E+04   0.103985E+00   0.972424E-05   0.469388E+01
     6   0.103530E+04   0.786855E-01   0.136184E-04   0.412065E+01
     7   0.100222E+04   0.511508E-01   0.181647E-04   0.347137E+01
     8   0.979923E+03   0.297547E-01   0.233646E-04   0.282976E+01
     9   0.965716E+03   0.170505E-01   0.292197E-04   0.226757E+01
    10   0.957865E+03   0.113811E-01   0.357316E-04   0.182678E+01
    11   0.954606E+03   0.944100E-02   0.429024E-04   0.151639E+01
    12   0.956135E+03   0.895186E-02   0.507339E-04   0.133192E+01
    13   0.960086E+03   0.829461E-02   0.592284E-04   0.125658E+01
    14   0.966112E+03   0.741130E-02   0.683879E-04   0.125267E+01
    15   0.973015E+03   0.664710E-02   0.782148E-04   0.129015E+01
    16   0.982448E+03   0.631914E-02   0.887115E-04   0.135108E+01
    17   0.994154E+03   0.644952E-02   0.998803E-04   0.142498E+01
    18   0.100688E+04   0.697202E-02   0.111724E-03   0.150550E+01
    19   0.102128E+04   0.778037E-02   0.124244E-03   0.159075E+01
    20   0.103564E+04   0.874218E-02   0.137444E-03   0.167059E+01
    21   0.105056E+04   0.976257E-02   0.151325E-03   0.174555E+01
    22   0.106606E+04   0.108498E-01   0.165890E-03   0.181623E+01
    23   0.108175E+04   0.120149E-01   0.181142E-03   0.188136E+01
    24   0.109794E+04   0.132735E-01   0.197082E-03   0.193891E+01
    25   0.111476E+04   0.146492E-01   0.213713E-03   0.198238E+01
    26   0.113171E+04   0.161730E-01   0.231036E-03   0.201669E+01
    27   0.114921E+04   0.178746E-01   0.249054E-03   0.204403E+01
    28   0.116709E+04   0.197669E-01   0.267767E-03   0.206102E+01
    29   0.118524E+04   0.218946E-01   0.287178E-03   0.207401E+01
    30   0.120387E+04   0.243048E-01   0.307288E-03   0.207765E+01
    31   0.122237E+04   0.270087E-01   0.328098E-03   0.208380E+01
    32   0.124155E+04   0.300194E-01   0.349609E-03   0.208731E+01
    33   0.126087E+04   0.332887E-01   0.371822E-03   0.208625E+01
    34   0.128031E+04   0.368337E-01   0.394738E-03   0.208127E+01
    35   0.130044E+04   0.406535E-01   0.418357E-03   0.206277E+01
    36   0.132035E+04   0.447694E-01   0.442679E-03   0.204054E+01
    37   0.134057E+04   0.491991E-01   0.467705E-03   0.200831E+01
    38   0.136124E+04   0.539234E-01   0.493434E-03   0.196769E+01
    39   0.138220E+04   0.589247E-01   0.519867E-03   0.191824E+01
    40   0.140335E+04   0.641884E-01   0.547003E-03   0.185798E+01
    41   0.142457E+04   0.697051E-01   0.574840E-03   0.178547E+01
    42   0.144588E+04   0.754865E-01   0.603380E-03   0.170117E+01
    43   0.146734E+04   0.815488E-01   0.632620E-03   0.160563E+01
    44   0.148903E+04   0.879065E-01   0.662560E-03   0.149781E+01
    45   0.151107E+04   0.945708E-01   0.693198E-03   0.137635E+01
    46   0.153343E+04   0.101549E+00   0.724534E-03   0.124039E+01
    47   0.155608E+04   0.108843E+00   0.756567E-03   0.108922E+01
    48   0.157894E+04   0.116448E+00   0.789294E-03   0.922128E+00
    49   0.160197E+04   0.124355E+00   0.822715E-03   0.738479E+00
    50   0.162518E+04   0.132569E+00   0.856828E-03   0.537779E+00
    51   0.164859E+04   0.141095E+00   0.891631E-03   0.319888E+00
    52   0.167217E+04   0.149938E+00   0.927124E-03   0.858712E-01
    53   0.169588E+04   0.159097E+00   0.963305E-03  -0.163115E+00
    54   0.171973E+04   0.168574E+00   0.100017E-02  -0.426772E+00
    55   0.174374E+04   0.178370E+00   0.103772E-02  -0.705171E+00
    56   0.176804E+04   0.188483E+00   0.107596E-02  -0.999020E+00
    57   0.179275E+04   0.198911E+00   0.111488E-02  -0.130900E+01
    58   0.181782E+04   0.209658E+00   0.115448E-02  -0.163509E+01
    59   0.184317E+04   0.220727E+00   0.119476E-02  -0.197700E+01
    60   0.186877E+04   0.232113E+00   0.123572E-02  -0.233402E+01
    61   0.189462E+04   0.243812E+00   0.127736E-02  -0.270543E+01
    62   0.192070E+04   0.255823E+00   0.131968E-02  -0.309089E+01
    63   0.194699E+04   0.268144E+00   0.136268E-02  -0.349013E+01
    64   0.197346E+04   0.280773E+00   0.140636E-02  -0.390290E+01
    65   0.200009E+04   0.293712E+00   0.145072E-02  -0.432899E+01
    66   0.202691E+04   0.306953E+00   0.149575E-02  -0.476844E+01
    67   0.205396E+04   0.320495E+00   0.154147E-02  -0.522131E+01
    68   0.208125E+04   0.334332E+00   0.158786E-02  -0.568769E+01
    69   0.210882E+04   0.348463E+00   0.163494E-02  -0.616769E+01
    70   0.213672E+04   0.362885E+00   0.168269E-02  -0.666161E+01
    71   0.216496E+04   0.377597E+00   0.173113E-02  -0.716982E+01
    72   0.219357E+04   0.392593E+00   0.178026E-02  -0.769271E+01
    73   0.222258E+04   0.407864E+00   0.183007E-02  -0.823046E+01
    74   0.225189E+04   0.423395E+00   0.188057E-02  -0.878221E+01
    75   0.228139E+04   0.439170E+00   0.193177E-02  -0.934672E+01
    76   0.231098E+04   0.455172E+00   0.198365E-02  -0.992297E+01
    77   0.234057E+04   0.471385E+00   0.203623E-02  -0.105100E+02
    78   0.237026E+04   0.487792E+00   0.208951E-02  -0.111083E+02
    79   0.240015E+04   0.504378E+00   0.214349E-02  -0.117185E+02
    80   0.243036E+04   0.521127E+00   0.219818E-02  -0.123413E+02
